country,founded,id,industry,linkedin_url,locality,name,region,size,website
sri lanka,2022,weareforchildren,,linkedin.com/company/weareforchildren,,we are for children (wafc),,10-Jan,wafc.lk
sri lanka,2022,pramix-holdings,,linkedin.com/company/pramix-holdings,ragama,pramix holdings,western,Nov-50,
sri lanka,2022,prospermo,,linkedin.com/company/prospermo,,prospermo,,10-Jan,prospermo.com
sri lanka,2022,xonar-inc,,linkedin.com/company/xonar-inc,colombo,xonar inc,western,10-Jan,
sri lanka,2022,elevategs,financial services,linkedin.com/company/elevategs,colombo,elevate global solutions,western,10-Jan,elevategs.com
sri lanka,2022,staydeals,hospitality,linkedin.com/company/staydeals,ja-ela,stay deals (private) limited.,western,Nov-50,staydeals.lk
sri lanka,2022,techhq-lk,,linkedin.com/company/techhq-lk,,techhq.lk,,Nov-50,techhq.lk
sri lanka,2022,imaginateve,,linkedin.com/company/imaginateve,colombo,imaginateve,western,10-Jan,imaginateve.design
sri lanka,2022,acpt-academy-of-computer-programming-and-training,,linkedin.com/company/acpt-academy-of-computer-programming-and-training,wadduwa,acpt - academy of computer programming and training,western,10-Jan,acpt.lk
sri lanka,2022,collectors-paradise-lk,retail,linkedin.com/company/collectors-paradise-lk,hettipola,collectors' paradise,north western,10-Jan,instagram.com/collectors_paradise_sri_lanka
sri lanka,2022,iteqsolution,,linkedin.com/company/iteqsolution,colombo,iteqsolution,western,10-Jan,iteqsolution.com
sri lanka,2022,kni2-labs,,linkedin.com/company/kni2-labs,colombo,kni2 labs,western,Nov-50,
sri lanka,2022,greenstat-hydrogen,,linkedin.com/company/greenstat-hydrogen,colombo,greenstat hydrogen,western,10-Jan,
sri lanka,2022,estate-masterslk,,linkedin.com/company/estate-masterslk,colombo,estate masters,western,10-Jan,
sri lanka,2022,chakra-fm-radio,,linkedin.com/company/chakra-fm-radio,ella,chakra fm radio,uva,Nov-50,facebook.com/chakra-fm-100371442698440
sri lanka,2022,escape-tours-lk,,linkedin.com/company/escape-tours-lk,,escape tours and travels,,10-Jan,
sri lanka,2022,accasrilanka,,linkedin.com/company/accasrilanka,colombo,accounting computing creative academy -  acca,western,10-Jan,acca.one
sri lanka,2022,lighthole8,,linkedin.com/company/lighthole8,nittambuwa,lighthole,western,10-Jan,
sri lanka,2022,seraph-lanka,higher education,linkedin.com/company/seraph-lanka,rajagiriya,seraph lanka,western,Nov-50,seraphlanka.com
sri lanka,2022,higthdesigner,graphic design,linkedin.com/company/higthdesigner,matara,high designer,southern,10001+,
sri lanka,2022,oh-my-marketing-lk,,linkedin.com/company/oh-my-marketing-lk,colombo,oh my marketing lk,western,10-Jan,
sri lanka,2022,adavii,,linkedin.com/company/adavii,colombo,adavii,western,10-Jan,adavii.com
sri lanka,2022,everythingatom,,linkedin.com/company/everythingatom,jaffna,everything atom,northern province,10-Jan,
sri lanka,2022,splinty-inc,,linkedin.com/company/splinty-inc,,splinty inc,western,10-Jan,facebook.com/splintyinc
sri lanka,2022,syncaiiss,,linkedin.com/company/syncaiiss,kurunegala,syncai intelligent and smart solutions,north western,10-Jan,syncaiiss.com
sri lanka,2022,next-u-media,,linkedin.com/company/next-u-media,colombo,next u media,western,10-Jan,facebook.com/nextumedia
sri lanka,2022,pixelbee-co,,linkedin.com/company/pixelbee-co,colombo,pixelbee.co,western,10-Jan,pixelbee.co
sri lanka,2022,innozonex,,linkedin.com/company/innozonex,,zonex solutions,,10-Jan,
sri lanka,2022,bittbash,,linkedin.com/company/bittbash,colombo,bittbash,western,10-Jan,bittbash.com
sri lanka,2022,asset-bpo-sri-lanka,,linkedin.com/company/asset-bpo-sri-lanka,colombo,asset bpo sri lanka,western,Nov-50,assetbpo.com
sri lanka,2022,aidido,,linkedin.com/company/aidido,,aidido,,10-Jan,aidido.com
sri lanka,2022,kodingo-edu,higher education,linkedin.com/company/kodingo-edu,colombo,kodingo,western,10-Jan,
sri lanka,2022,palamuwen,staffing and recruiting,linkedin.com/company/palamuwen,boralesgamuwa,palamuwen,western,Nov-50,palamuwen.com
sri lanka,2022,hiladies,,linkedin.com/company/hiladies,warakapola,hiladies,sabaragamuwa,10-Jan,
